001	1944-09-01	ДА
001	1944-09-01	ДА	КаоФ
001	1944-09-01	ДА	КаоФ	7 армия
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	31 тбр
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	32 тбр
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	1223 сап
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	1446 сап
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	108 иптап
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	409 гв. мдн
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	14 гв. отп
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	1051 сап
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	994 нбап
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	21 мибр
032	1944-09-01	ДА	1 ПрибФ	5 гвардейская танковая армия	99 пмб
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	1 гв. бак
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	4 гв. бад
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	5 гв. бад
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	1 гв. иак 
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	3 гв. иад
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	4 гв. иад
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	11 иак 
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	5 гв.
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	334 бад
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	332 шад
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	335 шад
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	11 рап
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	353 оапс
033	1944-09-01	ДА	1 ПрибФ	3 воздушная армия	399 оапс
034	1944-09-01	ДА	1 ПрибФ	19 ск
034	1944-09-01	ДА	1 ПрибФ	32 сд
034	1944-09-01	ДА	1 ПрибФ	70 сд
034	1944-09-01	ДА	1 ПрибФ	344 сд
034	1944-09-01	ДА	1 ПрибФ	20 адп 
034	1944-09-01	ДА	1 ПрибФ	102 габр БМ
034	1944-09-01	ДА	1 ПрибФ	21 адп 
034	1944-09-01	ДА	1 ПрибФ	103 габр БМ
034	1944-09-01	ДА	1 ПрибФ	39 иптабр
034	1944-09-01	ДА	1 ПрибФ	17 гв. мбр
034	1944-09-01	ДА	1 ПрибФ	1623 зенап
034	1944-09-01	ДА	1 ПрибФ	1625 зенап
034	1944-09-01	ДА	1 ПрибФ	221 озадн
034	1944-09-01	ДА	1 ПрибФ	622 озадн
034	1944-09-01	ДА	1 ПрибФ	47 мехбр
034	1944-09-01	ДА	1 ПрибФ	206 крап
034	1944-09-01	ДА	1 ПрибФ	5 гв. мибр
034	1944-09-01	ДА	1 ПрибФ	37 оиб
034	1944-09-01	ДА	1 ПрибФ	106 пмб
035	1944-09-01	ДА	3 БФ
035	1944-09-01	ДА	3 БФ	5 армия
035	1944-09-01	ДА	3 БФ	5 армия	45 ск
035	1944-09-01	ДА	3 БФ	5 армия	159 сд
035	1944-09-01	ДА	3 БФ	5 армия	184 сд
035	1944-09-01	ДА	3 БФ	5 армия	65 ск 
035	1944-09-01	ДА	3 БФ	5 армия	97 сд
035	1944-09-01	ДА	3 БФ	5 армия	144 сд
035	1944-09-01	ДА	3 БФ	5 армия	371 сд
035	1944-09-01	ДА	3 БФ	5 армия	72 ск 
035	1944-09-01	ДА	3 БФ	5 армия	63 сд
035	1944-09-01	ДА	3 БФ	5 армия	215 сд
035	1944-09-01	ДА	3 БФ	5 армия	277 сд
035	1944-09-01	ДА	3 БФ	5 армия	3 гв. адп 
035	1944-09-01	ДА	3 БФ	5 армия	7 гв. лабр
035	1944-09-01	ДА	3 БФ	5 армия	8 гв. габр
035	1944-09-01	ДА	3 БФ	5 армия	107 габр БМ
035	1944-09-01	ДА	3 БФ	5 армия	15 гв. пабр
035	1944-09-01	ДА	3 БФ	5 армия	696 иптап
035	1944-09-01	ДА	3 БФ	5 армия	95 гв. мп
035	1944-09-01	ДА	3 БФ	5 армия	1333 зенап
035	1944-09-01	ДА	3 БФ	5 армия	1339 зенап
035	1944-09-01	ДА	3 БФ	5 армия	1345 зенап
035	1944-09-01	ДА	3 БФ	5 армия	1351 зенап
035	1944-09-01	ДА	3 БФ	5 армия	726 зенап
035	1944-09-01	ДА	3 БФ	5 армия	2 гв.
035	1944-09-01	ДА	3 БФ	5 армия	35 гв. отп
035	1944-09-01	ДА	3 БФ	5 армия	253 тп
035	1944-09-01	ДА	3 БФ	5 армия	954 сап
035	1944-09-01	ДА	3 БФ	5 армия	958 сап
035	1944-09-01	ДА	3 БФ	5 армия	4 шисбр
035	1944-09-01	ДА	3 БФ	5 армия	18 ооб
036	1944-09-01	ДА	3 БФ	11 гвардейская армия
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	8 гв. ск
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	5 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	26 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	83 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	16 гв. ск 
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	11 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	31 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	36 гв. ск 
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	16 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	18 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	84 гв. сд
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	149 пабр
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1093 кпап
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1165 кпап
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	545 минп
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	317 гв. мп
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1379 зенап
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1383 зенап
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1389 зенап
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1395 зенап
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	1435 сап
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	2 гв. мшисбр
036	1944-09-01	ДА	3 БФ	11 гвардейская армия	13 ооб
037	1944-09-01	ДА	3 БФ	31 армия
037	1944-09-01	ДА	3 БФ	31 армия	36 ск
037	1944-09-01	ДА	3 БФ	31 армия	174 сд
037	1944-09-01	ДА	3 БФ	31 армия	220 сд
037	1944-09-01	ДА	3 БФ	31 армия	71 ск 
037	1944-09-01	ДА	3 БФ	31 армия	62 сд
037	1944-09-01	ДА	3 БФ	31 армия	173 сд
037	1944-09-01	ДА	3 БФ	31 армия	352 сд
037	1944-09-01	ДА	3 БФ	31 армия	88 сд
037	1944-09-01	ДА	3 БФ	31 армия	140 пабр
037	1944-09-01	ДА	3 БФ	31 армия	570 кпап
037	1944-09-01	ДА	3 БФ	31 армия	549 минп
037	1944-09-01	ДА	3 БФ	31 армия	74 гв. мп
037	1944-09-01	ДА	3 БФ	31 армия	1981 зенап
037	1944-09-01	ДА	3 БФ	31 армия	1985 зенап
037	1944-09-01	ДА	3 БФ	31 армия	1989 зенап
037	1944-09-01	ДА	3 БФ	31 армия	1993 зенап
037	1944-09-01	ДА	3 БФ	31 армия	213 тбр
037	1944-09-01	ДА	3 БФ	31 армия	959 сап
037	1944-09-01	ДА	3 БФ	31 армия	31 исбр
037	1944-09-01	ДА	3 БФ	31 армия	14 ооб
037	1944-09-01	ДА	3 БФ	31 армия	15 ооб
038	1944-09-01	ДА	3 БФ	33 армия
038	1944-09-01	ДА	3 БФ	33 армия	62 ск
038	1944-09-01	ДА	3 БФ	33 армия	49 сд
038	1944-09-01	ДА	3 БФ	33 армия	222 сд
038	1944-09-01	ДА	3 БФ	33 армия	362 сд
038	1944-09-01	ДА	3 БФ	33 армия	142 пабр
038	1944-09-01	ДА	3 БФ	33 армия	538 минп
038	1944-09-01	ДА	3 БФ	33 армия	1197 сап
038	1944-09-01	ДА	3 БФ	33 армия	34 исбр
039	1944-09-01	ДА	3 БФ	39 армия
039	1944-09-01	ДА	3 БФ	39 армия	5 гв. ск
039	1944-09-01	ДА	3 БФ	39 армия	17 гв.
039	1944-09-01	ДА	3 БФ	39 армия	19 гв.
039	1944-09-01	ДА	3 БФ	39 армия	91 гв.
039	1944-09-01	ДА	3 БФ	39 армия	152 УР
039	1944-09-01	ДА	3 БФ	39 армия	139 пабр
039	1944-09-01	ДА	3 БФ	39 армия	610 иптап
039	1944-09-01	ДА	3 БФ	39 армия	54 гв. мп
039	1944-09-01	ДА	3 БФ	39 армия	1481 зенап
039	1944-09-01	ДА	3 БФ	39 армия	28 гв. тбр
039	1944-09-01	ДА	3 БФ	39 армия	32 исбр
039	1944-09-01	ДА	3 БФ	39 армия	185 орро
040	1944-09-01	ДА	3 БФ	1 воздушная армия
040	1944-09-01	ДА	3 БФ	1 воздушная армия	3 шак
040	1944-09-01	ДА	3 БФ	1 воздушная армия	307 шад
040	1944-09-01	ДА	3 БФ	1 воздушная армия	308 шад
040	1944-09-01	ДА	3 БФ	1 воздушная армия	2 иак 
040	1944-09-01	ДА	3 БФ	1 воздушная армия	7 гв.
040	1944-09-01	ДА	3 БФ	1 воздушная армия	3 иак 
040	1944-09-01	ДА	3 БФ	1 воздушная армия	265 иад
040	1944-09-01	ДА	3 БФ	1 воздушная армия	278 иад
040	1944-09-01	ДА	3 БФ	1 воздушная армия	6 гв. бад
040	1944-09-01	ДА	3 БФ	1 воздушная армия	311 шад
040	1944-09-01	ДА	3 БФ	1 воздушная армия	303 иад
040	1944-09-01	ДА	3 БФ	1 воздушная армия	10 рап
040	1944-09-01	ДА	3 БФ	1 воздушная армия	142 трап
040	1944-09-01	ДА	3 БФ	1 воздушная армия	354 оапс
041	1944-09-01	ДА	3 БФ	113 ск
041	1944-09-01	ДА	3 БФ	157 сд
041	1944-09-01	ДА	3 БФ	192 сд
041	1944-09-01	ДА	3 БФ	331 сд
041	1944-09-01	ДА	3 БФ	5 акп
041	1944-09-01	ДА	3 БФ	4 гв. тпад 
041	1944-09-01	ДА	3 БФ	11 гв. пабр
041	1944-09-01	ДА	3 БФ	12 гв. пабр
041	1944-09-01	ДА	3 БФ	13 гв. пабр
041	1944-09-01	ДА	3 БФ	14 гв. пабр
041	1944-09-01	ДА	3 БФ	7 гв. мд 
041	1944-09-01	ДА	3 БФ	9 гв. мбр
041	1944-09-01	ДА	3 БФ	11 гв. мбр
041	1944-09-01	ДА	3 БФ	24 гв. мбр
041	1944-09-01	ДА	3 БФ	2 гв. адп 
041	1944-09-01	ДА	3 БФ	202 лабр
041	1944-09-01	ДА	3 БФ	117 габр БМ
041	1944-09-01	ДА	3 БФ	1 гв.
041	1944-09-01	ДА	3 БФ	8 тминбр
041	1944-09-01	ДА	3 БФ	29 тминбр
041	1944-09-01	ДА	3 БФ	245 оадн ОМ
041	1944-09-01	ДА	3 БФ	316 оадн ОМ
041	1944-09-01	ДА	3 БФ	406 отпадн
041	1944-09-01	ДА	3 БФ	326 гв. мп
041	1944-09-01	ДА	3 БФ	33 зенад 
041	1944-09-01	ДА	3 БФ	1378 зенап
041	1944-09-01	ДА	3 БФ	1710 зенап
041	1944-09-01	ДА	3 БФ	1715 зенап
041	1944-09-01	ДА	3 БФ	1718 зенап
041	1944-09-01	ДА	3 БФ	48 зенад 
041	1944-09-01	ДА	3 БФ	231 гв.
041	1944-09-01	ДА	3 БФ	1278 зенап
041	1944-09-01	ДА	3 БФ	2011 зенап
041	1944-09-01	ДА	3 БФ	1275 зенап
041	1944-09-01	ДА	3 БФ	1281 зенап
041	1944-09-01	ДА	3 БФ	1480 зенап
041	1944-09-01	ДА	3 БФ	324 озадн
041	1944-09-01	ДА	3 БФ	500 озадн
041	1944-09-01	ДА	3 БФ	525 озадн
041	1944-09-01	ДА	3 БФ	2 гв. тк 
041	1944-09-01	ДА	3 БФ	4 гв. тбр
041	1944-09-01	ДА	3 БФ	25 гв. тбр
041	1944-09-01	ДА	3 БФ	26 гв. тбр
041	1944-09-01	ДА	3 БФ	401 гв.
041	1944-09-01	ДА	3 БФ	79 мцб
041	1944-09-01	ДА	3 БФ	28 гв. мдн
041	1944-09-01	ДА	3 БФ	153 тбр
041	1944-09-01	ДА	3 БФ	76 гв. отп
041	1944-09-01	ДА	3 БФ	148 тп
041	1944-09-01	ДА	3 БФ	517 тп
041	1944-09-01	ДА	3 БФ	343 гв. тсап
041	1944-09-01	ДА	3 БФ	345 гв. тсап
041	1944-09-01	ДА	3 БФ	348 гв. тсап
041	1944-09-01	ДА	3 БФ	395 гв. тсап
041	1944-09-01	ДА	3 БФ	1025 сап
041	1944-09-01	ДА	3 БФ	1445 сап
041	1944-09-01	ДА	3 БФ	271 омб 
041	1944-09-01	ДА	3 БФ	6 одн брп
041	1944-09-01	ДА	3 БФ	12 одн брп
041	1944-09-01	ДА	3 БФ	32 одн брп
041	1944-09-01	ДА	3 БФ	50 одн брп
041	1944-09-01	ДА	3 БФ	3 шисбр
041	1944-09-01	ДА	3 БФ	4 пмбр
041	1944-09-01	ДА	3 БФ	8 пмбр
041	1944-09-01	ДА	3 БФ	92 пмб
042	1944-09-01	ДА	2 БФ
042	1944-09-01	ДА	2 БФ	3 армия
042	1944-09-01	ДА	2 БФ	3 армия	35 ск
042	1944-09-01	ДА	2 БФ	3 армия	250 сд
042	1944-09-01	ДА	2 БФ	3 армия	323 сд
042	1944-09-01	ДА	2 БФ	3 армия	348 сд
042	1944-09-01	ДА	2 БФ	3 армия	40 ск 
042	1944-09-01	ДА	2 БФ	3 армия	5 сд
042	1944-09-01	ДА	2 БФ	3 армия	129 сд
042	1944-09-01	ДА	2 БФ	3 армия	169 сд
042	1944-09-01	ДА	2 БФ	3 армия	41 ск 
042	1944-09-01	ДА	2 БФ	3 армия	120 гв.
042	1944-09-01	ДА	2 БФ	3 армия	283 сд
042	1944-09-01	ДА	2 БФ	3 армия	2 кабр
042	1944-09-01	ДА	2 БФ	3 армия	517 кпап
042	1944-09-01	ДА	2 БФ	3 армия	557 кпап
042	1944-09-01	ДА	2 БФ	3 армия	81 гап
042	1944-09-01	ДА	2 БФ	3 армия	331 гап
042	1944-09-01	ДА	2 БФ	3 армия	472 гап
042	1944-09-01	ДА	2 БФ	3 армия	44 иптабр
042	1944-09-01	ДА	2 БФ	3 армия	286 минп
042	1944-09-01	ДА	2 БФ	3 армия	475 минп
042	1944-09-01	ДА	2 БФ	3 армия	1355 зенап
042	1944-09-01	ДА	2 БФ	3 армия	1359 зенап
042	1944-09-01	ДА	2 БФ	3 армия	1365 зенап
042	1944-09-01	ДА	2 БФ	3 армия	1371 зенап
042	1944-09-01	ДА	2 БФ	3 армия	1284 зенап
042	1944-09-01	ДА	2 БФ	3 армия	66 гв.
042	1944-09-01	ДА	2 БФ	3 армия	1 шисбр 
042	1944-09-01	ДА	2 БФ	3 армия	40 тп
042	1944-09-01	ДА	2 БФ	3 армия	510 тп
042	1944-09-01	ДА	2 БФ	3 армия	365 гв. тсап
042	1944-09-01	ДА	2 БФ	3 армия	1888 сап
042	1944-09-01	ДА	2 БФ	3 армия	1901 сап
042	1944-09-01	ДА	2 БФ	3 армия	1902 сап
042	1944-09-01	ДА	2 БФ	3 армия	1 шисбр
042	1944-09-01	ДА	2 БФ	3 армия	141 орро
042	1944-09-01	ДА	2 БФ	3 армия	207 орро
043	1944-09-01	ДА	2 БФ	49 армия
043	1944-09-01	ДА	2 БФ	49 армия	70 ск
043	1944-09-01	ДА	2 БФ	49 армия	42 сд
043	1944-09-01	ДА	2 БФ	49 армия	110 сд
043	1944-09-01	ДА	2 БФ	49 армия	139 сд
043	1944-09-01	ДА	2 БФ	49 армия	121 ск 
043	1944-09-01	ДА	2 БФ	49 армия	238 сд
043	1944-09-01	ДА	2 БФ	49 армия	380 сд
043	1944-09-01	ДА	2 БФ	49 армия	385 сд
043	1944-09-01	ДА	2 БФ	49 армия	64 сд
043	1944-09-01	ДА	2 БФ	49 армия	199 сд
043	1944-09-01	ДА	2 БФ	49 армия	290 сд
043	1944-09-01	ДА	2 БФ	49 армия	343 сд
043	1944-09-01	ДА	2 БФ	49 армия	143 пабр
043	1944-09-01	ДА	2 БФ	49 армия	1099 кпап
043	1944-09-01	ДА	2 БФ	49 армия	55 гв.
043	1944-09-01	ДА	2 БФ	49 армия	85 гв.
043	1944-09-01	ДА	2 БФ	49 армия	1231 гап
043	1944-09-01	ДА	2 БФ	49 армия	120 иптап
043	1944-09-01	ДА	2 БФ	49 армия	593 иптап
043	1944-09-01	ДА	2 БФ	49 армия	1311 иптап
043	1944-09-01	ДА	2 БФ	49 армия	540 минп
043	1944-09-01	ДА	2 БФ	49 армия	100 гв. мп
043	1944-09-01	ДА	2 БФ	49 армия	1265 зенап
043	1944-09-01	ДА	2 БФ	49 армия	1271 зенап
043	1944-09-01	ДА	2 БФ	49 армия	1272 зенап
043	1944-09-01	ДА	2 БФ	49 армия	2012 зенап
043	1944-09-01	ДА	2 БФ	49 армия	23 гв. тбр
043	1944-09-01	ДА	2 БФ	49 армия	355 гв. тсап
043	1944-09-01	ДА	2 БФ	49 армия	1819 сап
043	1944-09-01	ДА	2 БФ	49 армия	11 исбр
044	1944-09-01	ДА	2 БФ	50 армия
044	1944-09-01	ДА	2 БФ	50 армия	81 ск
044	1944-09-01	ДА	2 БФ	50 армия	95 сд
044	1944-09-01	ДА	2 БФ	50 армия	324 сд
044	1944-09-01	ДА	2 БФ	50 армия	369 сд
044	1944-09-01	ДА	2 БФ	50 армия	307 сд
044	1944-09-01	ДА	2 БФ	50 армия	330 сд
044	1944-09-01	ДА	2 БФ	50 армия	144 пабр
044	1944-09-01	ДА	2 БФ	50 армия	27 иптабр
044	1944-09-01	ДА	2 БФ	50 армия	481 минп
044	1944-09-01	ДА	2 БФ	50 армия	544 минп
044	1944-09-01	ДА	2 БФ	50 армия	1585 зенап
044	1944-09-01	ДА	2 БФ	50 армия	1586 зенап
044	1944-09-01	ДА	2 БФ	50 армия	1591 зенап
044	1944-09-01	ДА	2 БФ	50 армия	1592 зенап
044	1944-09-01	ДА	2 БФ	50 армия	1434 сап
044	1944-09-01	ДА	2 БФ	50 армия	1444 сап
044	1944-09-01	ДА	2 БФ	50 армия	50 исбр
044	1944-09-01	ДА	2 БФ	50 армия	16 ооб
044	1944-09-01	ДА	2 БФ	50 армия	17 ооб
045	1944-09-01	ДА	2 БФ	4 воздушная армия
045	1944-09-01	ДА	2 БФ	4 воздушная армия	4 шак
045	1944-09-01	ДА	2 БФ	4 воздушная армия	196 шад
045	1944-09-01	ДА	2 БФ	4 воздушная армия	199 шад
045	1944-09-01	ДА	2 БФ	4 воздушная армия	8 иак 
045	1944-09-01	ДА	2 БФ	4 воздушная армия	215 иад
045	1944-09-01	ДА	2 БФ	4 воздушная армия	323 иад
045	1944-09-01	ДА	2 БФ	4 воздушная армия	233 шад
045	1944-09-01	ДА	2 БФ	4 воздушная армия	309 иад
045	1944-09-01	ДА	2 БФ	4 воздушная армия	47 гв. рап
045	1944-09-01	ДА	2 БФ	4 воздушная армия	164 гв. рап
045	1944-09-01	ДА	2 БФ	4 воздушная армия	213 санап
046	1944-09-01	ДА	2 БФ	38 ск
046	1944-09-01	ДА	2 БФ	153 сд
046	1944-09-01	ДА	2 БФ	3 гв. кк 
046	1944-09-01	ДА	2 БФ	5 гв.
046	1944-09-01	ДА	2 БФ	6 гв.
046	1944-09-01	ДА	2 БФ	1814 сап
046	1944-09-01	ДА	2 БФ	3 гв. оиптдн
046	1944-09-01	ДА	2 БФ	3 гв. мп
046	1944-09-01	ДА	2 БФ	32 гв. габр БМ
046	1944-09-01	ДА	2 БФ	5 иптабр
046	1944-09-01	ДА	2 БФ	16 тминбр
046	1944-09-01	ДА	2 БФ	31 гв. мбр
046	1944-09-01	ДА	2 БФ	313 гв. мп
046	1944-09-01	ДА	2 БФ	325 гв. мп
046	1944-09-01	ДА	2 БФ	341 зенап
046	1944-09-01	ДА	2 БФ	739 зенап
046	1944-09-01	ДА	2 БФ	1268 зенап
046	1944-09-01	ДА	2 БФ	1270 зенап
046	1944-09-01	ДА	2 БФ	1479 зенап
046	1944-09-01	ДА	2 БФ	1482 зенап
046	1944-09-01	ДА	2 БФ	1709 зенап
046	1944-09-01	ДА	2 БФ	21 озадн
046	1944-09-01	ДА	2 БФ	451 озадн
046	1944-09-01	ДА	2 БФ	490 озадн
046	1944-09-01	ДА	2 БФ	508 озадн
046	1944-09-01	ДА	2 БФ	614 озадн
046	1944-09-01	ДА	2 БФ	32 зенбатр
046	1944-09-01	ДА	2 БФ	33 зенбатр
046	1944-09-01	ДА	2 БФ	42 гв. тбр
046	1944-09-01	ДА	2 БФ	43 гв. тбр
046	1944-09-01	ДА	2 БФ	722 сап
046	1944-09-01	ДА	2 БФ	1 гв. шисбр
046	1944-09-01	ДА	2 БФ	9 пмб
046	1944-09-01	ДА	2 БФ	48 пмб
046	1944-09-01	ДА	2 БФ	87 пмб
046	1944-09-01	ДА	2 БФ	122 пмб
047	1944-09-01	ДА	1 БФ
047	1944-09-01	ДА	1 БФ	8 гвардейская армия
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	4 гв. ск
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	35 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	47 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	57 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	28 гв. ск 
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	39 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	79 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	88 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	29 гв. ск 
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	27 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	74 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	82 гв. сд
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	6 адп 
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	21 лабр
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	18 габр
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	2 минбр
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	43 гв. пабр
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	295 гв. пап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	32 минбр
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	4 овпдаан
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	297 гв. зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	307 гв. зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	308 гв. зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	309 гв. зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	13 зенад 
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1065 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1173 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1175 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1218 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	24 зенад 
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1045 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1337 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1343 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1349 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	31 зенад 
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1376 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1380 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1386 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1392 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	878 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1263 зенап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	11 гв. тбр
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	36 гв. отп
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	166 тп
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1087 сап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1200 сап
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	274 омб 
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	41 минбр
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	1 тпмп
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	10 ооб
047	1944-09-01	ДА	1 БФ	8 гвардейская армия	19 ооб
048	1944-09-01	ДА	1 БФ	28 армия
048	1944-09-01	ДА	1 БФ	28 армия	3 гв. ск
048	1944-09-01	ДА	1 БФ	28 армия	50 гв. сд
048	1944-09-01	ДА	1 БФ	28 армия	54 гв. сд
048	1944-09-01	ДА	1 БФ	28 армия	96 гв. сд
048	1944-09-01	ДА	1 БФ	28 армия	20 ск 
048	1944-09-01	ДА	1 БФ	28 армия	48 гв.
048	1944-09-01	ДА	1 БФ	28 армия	55 гв.
048	1944-09-01	ДА	1 БФ	28 армия	128 ск 
048	1944-09-01	ДА	1 БФ	28 армия	61 сд
048	1944-09-01	ДА	1 БФ	28 армия	130 сд
048	1944-09-01	ДА	1 БФ	28 армия	152 сд
048	1944-09-01	ДА	1 БФ	28 армия	22 ад 
048	1944-09-01	ДА	1 БФ	28 армия	13 лабр
048	1944-09-01	ДА	1 БФ	28 армия	63 габр
048	1944-09-01	ДА	1 БФ	28 армия	157 пабр
048	1944-09-01	ДА	1 БФ	28 армия	133 гв. минп
048	1944-09-01	ДА	1 БФ	28 армия	836 зенап
048	1944-09-01	ДА	1 БФ	28 армия	977 зенап
048	1944-09-01	ДА	1 БФ	28 армия	990 зенап
048	1944-09-01	ДА	1 БФ	28 армия	997 зенап
048	1944-09-01	ДА	1 БФ	28 армия	607 зенап
048	1944-09-01	ДА	1 БФ	28 армия	65 отп
048	1944-09-01	ДА	1 БФ	28 армия	516 тп
048	1944-09-01	ДА	1 БФ	28 армия	1416 сап
048	1944-09-01	ДА	1 БФ	28 армия	1898 сап
048	1944-09-01	ДА	1 БФ	28 армия	2 шисбр
048	1944-09-01	ДА	1 БФ	28 армия	53 пмб
048	1944-09-01	ДА	1 БФ	28 армия	131 пмб
049	1944-09-01	ДА	1 БФ	47 армия
049	1944-09-01	ДА	1 БФ	47 армия	77 ск
049	1944-09-01	ДА	1 БФ	47 армия	60 сд
049	1944-09-01	ДА	1 БФ	47 армия	143 сд
049	1944-09-01	ДА	1 БФ	47 армия	185 сд
049	1944-09-01	ДА	1 БФ	47 армия	125 ск 
049	1944-09-01	ДА	1 БФ	47 армия	76 сд
049	1944-09-01	ДА	1 БФ	47 армия	175 сд
049	1944-09-01	ДА	1 БФ	47 армия	234 сд
